Line Number,Line Name,Point Label,Latitude (Deg),Latitude (Min),Longitude (Deg),Longitude (Min)
1,Pitch,PLS,39,46.71462701999985,-66,54.80693147999972
1,Pitch,PLE,39,53.12525346000015,-66,56.07482537999999
2,Heading1,H1S,39,46.86918222000017,-66,53.491363379999655
2,Heading1,H1E,39,53.279994060000035,-66,54.75724224000032
3,Heading2,H2S,39,46.55982047999984,-66,56.12241198000021
3,Heading2,H2E,39,52.97026056000007,-66,57.39232013999981
4,Roll,RLS,39,44.00558766000003,-66,51.930516120000334
4,Roll,RLE,39,37.59429456000021,-66,50.67121362000023
