Line Number,Line Name,Point Label,Latitude (Deg),Latitude (Min),Latitude (Sec),Longitude (Deg),Longitude (Min),Longitude (Sec)
1,Pitch,PLS,39,46,42.877621199991154,-66,54,48.41588879998312
1,Pitch,PLE,39,53,7.515207600009148,-66,56,4.489522799999577
2,Heading1,H1S,39,46,52.15093320001017,-66,53,29.481802799979278
2,Heading1,H1E,39,53,16.799643600002128,-66,54,45.4345344000194
3,Heading2,H2S,39,46,33.589228799990565,-66,56,7.344718800012515
3,Heading2,H2E,39,52,58.21563360000425,-66,57,23.539208399988638
4,Roll,RLS,39,44,0.3352596000019048,-66,51,55.83096720002004
4,Roll,RLE,39,37,35.65767360001246,-66,50,40.27281720001383
