Line Number,Line Name,Point Label,Latitude (Deg),Latitude (Min),Latitude (Sec),Longitude (Deg),Longitude (Min),Longitude (Sec)
1,Pitch,PLS,39,24,10.648799999993344,-71,55,2.82359999999926
1,Pitch,PLE,39,27,10.040400000009981,-71,50,52.77120000001787
2,Heading1,H1S,39,23,43.29599999998777,-71,54,30.189599999974916
2,Heading1,H1E,39,26,42.666000000007784,-71,50,20.137199999993527
3,Heading2,H2S,39,24,38.001599999998916,-71,55,35.468399999996336
3,Heading2,H2E,39,27,37.41119999999569,-71,51,25.412400000024036
4,Roll,RLS,39,22,53.3675999999889,-71,57,51.145200000006525
4,Roll,RLE,39,26,6.356400000003646,-72,1,34.38120000000936
