Line Number,Line Name,Point Label,Latitude,Longitude
1,Pitch,PLS,39.402958,-71.917451
1,Pitch,PLE,39.452789,-71.847992
2,Heading1,H1S,39.39536,-71.908386
2,Heading1,H1E,39.445185,-71.838927
3,Heading2,H2S,39.410556,-71.926519
3,Heading2,H2E,39.460392,-71.857059
4,Roll,RLS,39.381491,-71.964207
4,Roll,RLE,39.435099,-72.026217
