Line Number,Line Name,Point Label,Latitude (Deg),Latitude (Min),Longitude (Deg),Longitude (Min)
1,Pitch,PLS,39,19.289128140000145,-67,3.2577438599997777
1,Pitch,PLE,39,24.013422359999907,-67,4.749589920000119
2,Heading1,H1S,39,19.661830259999817,-67,1.2976539000001708
2,Heading1,H1E,39,24.38648700000016,-67,2.787393720000182
3,Heading2,H2S,39,18.9158665799998,-67,5.217508080000357
3,Heading2,H2E,39,23.639796960000155,-67,6.711458399999799
4,Roll,RLS,39,17.92536150000018,-67,1.767665760000341
4,Roll,RLE,39,13.430684879999859,-66,57.907041119999576
