Line Number,Line Name,Point Label,Latitude (Deg),Latitude (Min),Latitude (Sec),Longitude (Deg),Longitude (Min),Longitude (Sec)
1,Pitch,PLS,39,19,17.34768840000868,-67,3,15.46463159998666
1,Pitch,PLE,39,24,0.8053415999944491,-67,4,44.97539520000714
2,Heading1,H1S,39,19,39.70981559998904,-67,1,17.859234000010247
2,Heading1,H1E,39,24,23.189220000009527,-67,2,47.243623200010916
3,Heading2,H2S,39,18,54.95199479998803,-67,5,13.050484800021422
3,Heading2,H2E,39,23,38.38781760000927,-67,6,42.68750399998794
4,Roll,RLS,39,17,55.52169000001072,-67,1,46.059945600020455
4,Roll,RLE,39,13,25.841092799991543,-66,57,54.42246719997456
