Line Number,Line Name,Point Label,Latitude,Longitude
1,Pitch,PLS,39.321485469,-67.054295731
1,Pitch,PLE,39.400223706,-67.079159832
2,Heading1,H1S,39.327697171,-67.021627565
2,Heading1,H1E,39.40644145,-67.046456562
3,Heading2,H2S,39.315264443,-67.086958468
3,Heading2,H2E,39.393996616,-67.11185764
4,Roll,RLS,39.298756025,-67.029461096
4,Roll,RLE,39.223844748,-66.965117352
